爱情,ài qíng,romance
安排,ān pái,to arrange
安全,ān quán,safe
暗,àn,to close (a door)
按时,àn shí,on time
按照,àn zhào,according to
包括,bāo kuò,to comprise
保护,bǎo hù,to protect
保证,bǎo zhèng,guarantee
抱,bào,to hold
抱歉,bào qiàn,to be sorry
报道,bào dào,report
报名,bào míng,to sign up
倍,bèi,(two
本来,běn lái,original
笨,bèn,stupid
笔记本,bǐ jì běn,notebook
毕业,bì yè,graduation
遍,biàn,everywhere
标准,biāo zhǔn,(an official) standard
表达,biǎo dá,to voice (an opinion)
表格,biǎo gé,form
表扬,biǎo yáng,to praise
饼干,bǐng gān,biscuit
并且,bìng qiě,and
博士,bó shì,doctor
不但,bù dàn,not only (... but also...)
不过,bù guò,only
不得不,bù dé bù,have no choice or option but to
不管,bù guǎn,no matter (what
不仅,bù jǐn,not only (this one)
部分,bù fèn,part
擦,cā,to wipe
猜,cāi,to guess
材料,cái liào,material
参观,cān guān,to look around
差不多,chà bu duō,almost
长城,Cháng chéng,the Great Wall
长江,Cháng Jiāng,Yangtze River
尝,cháng,to taste
场,chǎng,large place used for a specific purpose
超过,chāo guò,to surpass
吵,chǎo,to quarrel
乘坐,chéng zuò,to ride (in a vehicle)
成功,chéng gōng,success
成熟,chéng shú,mature
成为,chéng wéi,to become
诚实,chéng shí,honest
吃惊,chī jīng,to be startled
重新,chóng xīn,again
抽烟,chōu yān,to smoke (a cigarette
出差,chū chāi,to go on an official or business trip
出发,chū fā,to start out
出生,chū shēng,to be born
传真,chuán zhēn,fax
窗户,chuāng hu,window
词典,cí diǎn,dictionary (of Chinese compound words)
从来,cóng lái,always
粗心,cū xīn,careless
答案,dá àn,answer
打扮,dǎ ban,to decorate
打扰,dǎ rǎo,to disturb
打印,dǎ yìn,to print
打折,dǎ zhé,to give a discount
打针,dǎ zhēn,to give or have an injection
大概,dà gài,roughly
大使馆,dà shǐ guǎn,embassy
大约,dà yuē,approximately
戴,dài,to put on or wear (glasses
代表,dài biǎo,representative
代替,dài tì,instead
大夫,dài fu,doctor
当,dāng,to be
当地,dāng dì,local
当时,dāng shí,then
刀,dāo,knife
导游,dǎo yóu,tour guide
到处,dào chù,everywhere
到底,dào dǐ,finally
道歉,dào qiàn,to apologize
得意,dé yì,proud of oneself
等,děng,class
等,děng,class
底,dǐ,background
地球,dì qiú,the Earth
地址,dì zhǐ,address
掉,diào,to fall
调查,diào chá,investigation
丢,diū,to lose
动作,dòng zuò,movement
堵车,dǔ chē,traffic jam
肚子,dù zi,belly
断,duàn,to break
对,duì,couple
对,duì,couple
对话,duì huà,dialog
对面,duì miàn,(sitting) opposite
顿,dùn,to stop
朵,duǒ,flower
而,ér,and
儿童,ér tóng,child
发,fā,to send out
发生,fā shēng,to happen
发展,fā zhǎn,development
法律,fǎ lǜ,law
翻译,fān yì,to translate
烦恼,fán nǎo,to be worried
反对,fǎn duì,to fight against
反映,fǎn yìng,to mirror
范围,fàn wéi,range
方法,fāng fǎ,method
方面,fāng miàn,respect
方向,fāng xiàng,direction
访问,fǎng wèn,to visit
放弃,fàng qì,to renounce
放暑假,fàng shǔ jià,The summer holidays
分之,fēn zhī,(indicating a fraction)
份,fèn,classifier for gifts
风景,fēng jǐng,scenery
丰富,fēng fù,to enrich
否则,fǒu zé,if not
符合,fú hé,in keeping with
富,fù,rich
负责,fù zé,to be in charge of
复印,fù yìn,to photocopy
复杂,fù zá,complicated
父亲,fù qīn,father
改变,gǎi biàn,to change
干杯,gān bēi,to drink a toast
干燥,gān zào,to dry (of weather
感动,gǎn dòng,to move (sb)
感觉,gǎn jué,to feel
感情,gǎn qíng,feeling
感谢,gǎn xiè,(express) thanks
干,gàn,tree trunk
刚刚,gāng gang,just recently
高级,gāo jí,high level
个子,gè zi,height
各,gè,each
公里,gōng lǐ,kilometer
工具,gōng jù,tool
工资,gōng zī,wages
共同,gòng tóng,common
够,gòu,to reach
购物,gòu wù,shopping
孤单,gū dān,lone
估计,gū jì,to estimate
鼓励,gǔ lì,to encourage
鼓掌,gǔ zhǎng,to applaud
顾客,gù kè,client
故意,gù yì,deliberately
挂,guà,to hang or suspend (from a hook etc)
关键,guān jiàn,crucial point
观众,guān zhòng,spectators
管理,guǎn lǐ,to supervise
光,guāng,light
广播,guǎng bō,broadcast
广告,guǎng gào,to advertise
逛,guàng,to stroll
规定,guī dìng,provision
国际,guó jì,international
果然,guǒ rán,really
过,guò,(experienced action marker)
过,guò,(experienced action marker)
过程,guò chéng,course of events
海洋,hǎi yáng,ocean
害羞,hài xiū,shy
寒假,hán jià,winter vacation
汗,hàn,perspiration
航班,háng bān,scheduled flight
好处,hǎo chu,benefit
好像,hǎo xiàng,as if
号码,hào mǎ,number
合格,hé gé,qualified
合适,hé shì,suitable
盒子,hé zi,case
猴子,hóu zi,monkey
厚,hòu,thick
后悔,hòu huǐ,to regret
后来,hòu lái,afterwards
忽然,hū rán,suddenly
互相,hù xiāng,each other
护士,hù shi,nurse
怀疑,huái yí,to doubt
回忆,huí yì,to recall
活动,huó dòng,to exercise
活泼,huó po,lively
火,huǒ,fire
获得,huò dé,to obtain
基础,jī chǔ,base
激动,jī dòng,to excite
积极,jī jí,active
积累,jī lěi,to accumulate
极其,jí qí,extremely
即使,jí shǐ,even if
及时,jí shí,in time
集合,jí hé,to gather
寄,jì,to live (in a house)
继续,jì xù,to continue
记者,jì zhě,reporter
计划,jì huà,plan
技术,jì shù,technology
既然,jì rán,since
家具,jiā jù,furniture
加班,jiā bān,to work overtime
加油站,jiā yóu zhàn,gas station
假,jiǎ,fake
价格,jià gé,price
坚持,jiān chí,to persevere with
减肥,jiǎn féi,to lose weight
减少,jiǎn shǎo,to lessen
将来,jiāng lái,in the future
奖金,jiǎng jīn,premium
降低,jiàng dī,to reduce
交,jiāo,to hand over
交流,jiāo liú,to exchange
交通,jiāo tōng,to be connected
骄傲,jiāo ào,pride
饺子,jiǎo zi,dumpling
教授,jiào shòu,professor
教育,jiào yù,to educate
接受,jiē shòu,to accept
节约,jié yuē,to economize
结果,jié guǒ,outcome
解释,jiě shì,explanation
紧张,jǐn zhāng,nervous
尽管,jǐn guǎn,despite
进行,jìn xíng,to advance
禁止,jìn zhǐ,to prohibit
精彩,jīng cǎi,brilliant
精神,jīng shén,spirit
经济,jīng jì,economy
经历,jīng lì,experience
经验,jīng yàn,to experience
京剧,Jīng jù,Beijing opera
警察,jǐng chá,police
竟然,jìng rán,unexpectedly
竞争,jìng zhēng,to compete
镜子,jìng zi,mirror
究竟,jiū jìng,after all (when all is said and done)
举办,jǔ bàn,to conduct
拒绝,jù jué,to refuse
距离,jù lí,distance
开玩笑,kāi wán xiào,to play a joke
看法,kàn fǎ,way of looking at a thing
考虑,kǎo lǜ,to think over
棵,kē,classifier for trees
科学,kē xué,science
咳嗽,ké sou,to cough
可怜,kě lián,pitiful
可是,kě shì,but
可惜,kě xī,it is a pity
肯定,kěn dìng,to be sure
空气,kōng qì,air
恐怕,kǒng pà,fear
苦,kǔ,bitter
宽,kuān,lenient
困,kùn,sleepy
困难,kùn nan,difficult
扩大,kuò dà,to expand
拉,lā,to pull
垃圾桶,lā jī tǒng,rubbish bin
辣,là,hot (spicy)
来不及,lái bu jí,there's not enough time (to do sth)
来得及,lái de jí,there's still time
懒,lǎn,lazy
浪费,làng fèi,to waste
浪漫,làng màn,romantic
老虎,lǎo hǔ,tiger
冷静,lěng jìng,calm
礼貌,lǐ mào,courtesy
理发,lǐ fà,a barber
理解,lǐ jiě,to comprehend
理想,lǐ xiǎng,a dream
厉害,lì hai,difficult to deal with
力气,lì qi,strength
例如,lì rú,for example
俩,liǎ,two (colloquial equivalent of 兩個|两个)
连,lián,to link
联系,lián xì,connection
凉快,liáng kuai,nice and cold
亮,liàng,bright
聊天,liáo tiān,to chat
另外,lìng wài,additional
留,liú,to leave (a message etc)
留学,liú xué,to study abroad
流泪,liú lèi,to shed tears
流利,liú lì,fluent
流行,liú xíng,to spread
乱,luàn,in confusion or disorder
律师,lǜ shī,lawyer
麻烦,má fan,inconvenient
马虎,mǎ hu,careless
满,mǎn,full
毛巾,máo jīn,towel
美丽,měi lì,beautiful
梦,mèng,dream
密码,mì mǎ,code
免费,miǎn fèi,free (of charge)
民族,mín zú,nationality
母亲,mǔ qīn,mother
目的,mù dì,purpose
耐心,nài xīn,to be patient
难道,nán dào,don't tell me ...
难受,nán shòu,to feel unwell
内,nèi,inside
内容,nèi róng,content
能力,néng lì,capability
年龄,nián líng,(a person's) age
农村,nóng cūn,rural area
弄,nòng,to do
暖和,nuǎn huo,warm
偶尔,ǒu ěr,occasionally
排列,pái liè,array
判断,pàn duàn,to decide
陪,péi,to accompany
批评,pī píng,to criticize
皮肤,pí fū,skin
脾气,pí qi,character
篇,piān,sheet
骗,piàn,to cheat
乒乓球,pīng pāng qiú,table tennis
平时,píng shí,ordinarily
瓶子,píng zi,bottle
破,pò,broken
普遍,pǔ biàn,universal
其次,qí cì,next
其中,qí zhōng,among
起飞,qǐ fēi,to take off (in an airplane)
起来,qi lai,(after a verb
气候,qì hòu,climate
千万,qiān wàn,ten million
签证,qiān zhèng,visa
墙,qiáng,wall
敲,qiāo,to hit
桥,qiáo,bridge
巧克力,qiǎo kè lì,chocolate (loanword)
亲戚,qīn qi,a relative (i.e. family relation)
轻,qīng,light
轻松,qīng sōng,gentle
情况,qíng kuàng,circumstances
请假,qǐng jià,to request leave of absence
请客,qǐng kè,to give a dinner party
穷,qióng,exhausted
区别,qū bié,difference
取,qǔ,to take
全部,quán bù,whole
缺点,quē diǎn,weak point
缺少,quē shǎo,lack
却,què,but
确实,què shí,indeed
群,qún,group
然而,rán ér,however
热闹,rè nao,bustling with noise and excitement
人民币,rén mín bì,Renminbi (RMB)
任何,rèn hé,any
任务,rèn wu,mission
扔,rēng,to throw
仍然,réng rán,still
日记,rì jì,diary
入口,rù kǒu,entrance
软,ruǎn,soft
散步,sàn bù,to take a walk
森林,sēn lín,forest
沙发,shā fā,sofa
商量,shāng liang,to consult
伤心,shāng xīn,to grieve
