哎哟,āi yō,hey
挨,ái,to suffer
癌症,ái zhèng,cancer
爱不释手,ài bù shì shǒu,to love sth too much to part with it (idiom)
爱戴,ài dài,to love and respect
暧昧,ài mèi,vague
安居乐业,ān jū lè yè,live in peace and work happily (idiom)
安宁,ān níng,peaceful
安详,ān xiáng,serene
安置,ān zhì,to find a place for
暗示,àn shì,to hint
案件,àn jiàn,law case
案例,àn lì,case (law)
按摩,àn mó,massage
昂贵,áng guì,expensive
凹凸,āo tū,bumpy
熬,áo,to cook on a slow fire
奥秘,ào mì,secret
扒,bā,to hold on to
疤,bā,scar
巴不得,bā bù dé,to be eager for
巴结,bā jie,to fawn on
拔苗助长,bá miáo zhù zhǎng,to spoil things through excessive enthusiasm (idiom)
把关,bǎ guān,to guard a pass
把手,bǎ shǒu,handle
把戏,bǎ xì,acrobatics
霸道,bà dào,the Way of the Hegemon
罢工,bà gōng,a strike
掰,bāi,to break with both hands
百分点,bǎi fēn diǎn,percentage point
摆脱,bǎi tuō,to break away from
拜访,bài fǎng,to pay a visit
拜年,bài nián,pay a New Year call
拜托,bài tuō,to request sb to do sth
败坏,bài huài,to ruin
颁布,bān bù,to issue
颁发,bān fā,to issue
斑纹,bān wén,stripe
版本,bǎn běn,version
半途而废,bàn tú ér fèi,to give up halfway (idiom); leave sth unfinished
伴侣,bàn lǚ,companion
伴随,bàn suí,to accompany
扮演,bàn yǎn,to play the role of
绑架,bǎng jià,to kidnap
榜样,bǎng yàng,example
磅,bàng,see 磅秤 scale
包庇,bāo bì,to shield
包袱,bāo fu,cloth-wrapper
包围,bāo wéi,to surround
包装,bāo zhuāng,to pack
饱和,bǎo hé,saturation
饱经沧桑,bǎo jīng cāng sāng,having lived through many changes
保管,bǎo guǎn,to assure
保密,bǎo mì,to keep sth confidential
保姆,bǎo mǔ,nanny
保守,bǎo shǒu,(politically) conservative
保卫,bǎo wèi,to defend
保养,bǎo yǎng,to take good care of (or conserve) one's health
保障,bǎo zhàng,to ensure
保重,bǎo zhòng,to take care of oneself
抱负,bào fù,aspiration
抱怨,bào yuàn,to complain
报仇,bào chóu,to take revenge
报酬,bào chóu,reward
报答,bào dá,to repay
报到,bào dào,to report for duty
报复,bào fù,to make reprisals
报社,bào shè,general office of a newspaper
报销,bào xiāo,to submit an expense account
爆发,bào fā,to break out
爆炸,bào zhà,explosion
曝光,bào guāng,light meter
暴力,bào lì,violence
暴露,bào lù,to expose
悲哀,bēi āi,grieved
悲惨,bēi cǎn,miserable
卑鄙,bēi bǐ,base
北极,běi jí,the North Pole
被动,bèi dòng,passive
被告,bèi gào,defendant
背叛,bèi pàn,to betray
背诵,bèi sòng,recite
备份,bèi fèn,backup
备忘录,bèi wàng lù,memorandum
贝壳,bèi ké,shell
奔波,bēn bō,to rush about
